pert_iname	PDB	delta_E
ampicillin	5ijc	-7.1
doxycycline	5ijc	-9.2
sulfacetamide	5ijc	-6.9
tetracycline	5ijc	-8.2
baclofen	5ijc	-6.8
hydroxyzine	5ijc	-9
lincomycin	5ijc	-7.2
lomefloxacin	5ijc	-8.1
neomycin	5ijc	-8.2
prednisolone	5ijc	-8.8
pyrantel	5ijc	-9
pyridoxine	5ijc	-5.4
spiramycin	5ijc	-11.8
sulfaquinoxaline	5ijc	-7.8
tylosin	5ijc	-8.9
vigabatrin	5ijc	-4.7
bacitracin	5ijc	-12.1
rivastigmine	5ijc	-6.4
glucosamine	5ijc	-5.7
toremifene	5ijc	-7.8
ruxolitinib	5ijc	-7.3
lapatinib	5ijc	-10.3
palbociclib	5ijc	-9
ziprasidone	5ijc	-9.4
carvedilol	5ijc	-7.8
naproxen	5ijc	-7.7
estradiol	5ijc	-9.7
betamethasone	5ijc	-8.6
pemetrexed	5ijc	-9.3
chlorhexidine	5ijc	-9.2
atropine	5ijc	-7.6
clopidogrel	5ijc	-7.8
testosterone	5ijc	-10.3
scopolamine	5ijc	-7.7
hydrocortisone	5ijc	-9
